Trial,A->B,A->C,B->C
1,,,516.98
2,,,740.44
3,,,527.32
4,,,519.42
5,,,515.46
6,,,530.66
7,,,517.48
8,,,518.7
9,,,517.52
10,,,517.04
11,,,519.26
12,,,515.56
13,,,732.4
14,,,740.72
15,,,735.06
16,,,528.94
17,,,518.14
18,,,736.44
19,,,533.56
20,,,736.92
21,,,733.02
22,,,739
23,,,510.08
24,,,732.28
25,,,751.1
26,,,735.08
27,,,529.18
28,,,734.26
29,,,735.04
30,,,503.84
31,,,505.84
32,,,521.72
33,,,742.5
34,,,526.86
35,,,519.14
36,,,733.56
37,,,514.14
38,,,514.4
39,,,733.42
40,,,512.48
41,,,510.74
42,,,514.3
43,,,507.32
44,,,510.66
45,,,512.38
46,,,499.32
47,,,516.36
48,,,743.12
49,,,514.78
50,,,735.4
51,,,528.88
52,,,525.58
53,,,506.38
54,,,734
55,,,522.28
56,,,736.7
57,,,735.4
58,,,731.22
59,,,525.02
60,,,519.62
61,,,498.34
62,,,500.88
63,,,509.12
64,,,509.32
65,,,510.36
66,,,511.22
67,,,512.74
68,,,506.5
69,,,512.52
70,,,511.42
71,,,512.02
72,,,512.5
73,,,511.82
74,,,511.12
75,,,512.82
76,,,515.54
77,,,520.74
78,,,511.98
79,,,509.82
80,,,509.74
81,,,514.44
82,,,515.88
83,,,515.46
84,,,510.4
85,,,511.94
86,,,517.64
87,,,512.52
88,,,511.62
89,,,511.5
90,,,512.16
91,,,511.24
92,,,513.04
93,,,510.28
94,,,508.38
95,,,508.7
96,,,509.9
97,,,512.42
98,,,513.68
99,,,512.52
100,,,517.9
