,403.32,500.36
0,295.56,880.52
1,367.1,472.76
2,216.1,311.64
3,715.28,3279.42
4,187.28,274.94
5,400.6,495.3
6,390.16,479.98
7,421.24,498.26
8,391.14,474.56
9,389.08,471.2
10,380.44,477.66
11,381.16,474.48
12,384.48,467.72
13,395.16,482.84
14,403.5,478.1
15,399.52,481.02
16,423.36,496.22
17,406.16,490.82
18,410.8,489.28
19,495.94,577.92
20,487.6,578.04
21,493.62,581.0
22,487.38,578.4
23,409.54,486.36
24,398.2,472.92
25,409.86,492.08
26,384.12,458.04
27,470.9,538.26
28,376.96,462.52
29,402.96,482.72
30,396.68,474.42
31,426.2,506.58
32,407.9,485.9
33,248.04,336.44
34,229.04,313.14
35,400.78,471.1
36,409.28,497.12
37,399.96,485.1
38,342.58,422.18
39,211.5,295.78
40,390.18,201.72
41,1130588.0,1130648.0
42,451.96,752.68
43,417.08,501.84
44,409.22,490.6
45,223.92,305.04
46,229.4,312.94
47,141.08,204.1
48,236.12,334.94
49,226.42,306.26
